timestamp,packet-counter,lidar-lite-v3,spectrometer-voltage,latitude,longitude,altitude,accelerometer,spectrometer_spectrometer1,spectrometer_spectrometer2,spectrometer_spectrometer3,spectrometer_spectrometer4,spectrometer_spectrometer5,spectrometer_spectrometer6
2025-03-08 17:14:50,1.0,262.0,3.46,34.710987,-86.640869,250.0,-0.107,0.275,0.011,1094.0,7214.0,4808.0,2767.0
2025-03-08 17:14:51,3.0,70.0,3.32,34.71141,-86.641471,250.0,0.719,-0.637,0.966,4013.0,9341.0,1670.0,1006.0
2025-03-08 17:14:52,4.0,86.0,2.7,34.711265,-86.641242,250.0,-0.964,-0.094,0.659,987.0,9871.0,8037.0,4068.0
2025-03-08 17:14:54,5.0,161.0,4.27,34.711605,-86.641136,250.0,0.748,0.592,0.901,3434.0,424.0,5081.0,2938.0
2025-03-08 17:14:57,8.0,198.0,3.47,34.711486,-86.641105,250.0,0.166,-0.659,0.016,8708.0,8007.0,836.0,8686.0
2025-03-08 17:14:58,9.0,148.0,2.35,34.711196,-86.64109,250.0,-0.5,0.693,0.184,5084.0,5895.0,3541.0,2426.0
2025-03-08 17:14:59,10.0,55.0,2.46,34.711658,-86.641029,250.0,0.419,-0.338,-0.522,1076.0,3713.0,8577.0,5124.0
2025-03-08 17:15:01,11.0,248.0,2.1,34.71154,-86.640914,250.0,-0.079,-0.509,0.634,7433.0,7025.0,9089.0,6399.0
2025-03-08 17:15:02,12.0,262.0,4.54,34.710937,-86.640739,250.0,-0.958,-0.211,0.906,4958.0,9430.0,1654.0,1636.0
2025-03-08 17:15:03,13.0,263.0,3.58,34.710792,-86.641311,250.0,-0.464,-0.391,0.226,9391.0,888.0,5776.0,9008.0
2025-03-08 17:15:04,14.0,244.0,2.21,34.711196,-86.64122,250.0,0.451,-0.371,-0.122,5618.0,2168.0,7440.0,2278.0
2025-03-08 17:15:05,15.0,148.0,4.76,34.711021,-86.641532,250.0,0.835,0.135,0.671,6049.0,4214.0,2440.0,9402.0
2025-03-08 17:15:06,16.0,267.0,2.53,34.711448,-86.640937,250.0,0.759,0.258,0.688,9883.0,943.0,7014.0,2496.0
