timestamp,packet-counter,lidar-lite-v3,spectrometer-voltage,latitude,longitude,altitude,accelerometer-x,accelerometer-y,accelerometer-z,spectrometer_spectrometer1,spectrometer_spectrometer2,spectrometer_spectrometer3,spectrometer_spectrometer4,spectrometer_spectrometer5,spectrometer_spectrometer6
2025-03-06 22:28:14,78.0,285.0,3.45,34.711643,-86.640815,84.0,-0.761,0.42,-0.576,8912.0,9114.0,7725.0,6895.0,6002.0,3908.0
2025-03-06 22:28:14,,1386.0,2758.0,6482.0,3774.0,7774.0,8967.0,3509.0,6782.0,3223.0,6994.0,4672.0,7799.0,8806.0,1707.0
2025-03-06 22:28:15,3.0,189.0,2.0,34.711585,-86.64151,100.0,-0.516,0.114,0.335,624.0,8102.0,3188.0,1005.0,5711.0,760.0
2025-03-06 22:28:17,4.0,52.0,4.56,34.711513,-86.641227,100.0,0.399,-0.634,-0.608,7034.0,2500.0,339.0,6126.0,5619.0,838.0
2025-03-06 22:28:25,11.0,298.0,4.29,34.711681,-86.641471,100.0,-0.887,-0.322,-0.004,941.0,6248.0,1437.0,7781.0,9281.0,4082.0
2025-03-06 22:28:26,12.0,212.0,2.16,34.71088,-86.641044,100.0,-0.998,-0.148,0.364,1037.0,1105.0,5966.0,258.0,7329.0,7595.0
2025-03-06 22:28:27,13.0,277.0,3.08,34.710853,-86.640785,100.0,-0.908,-0.126,-0.204,4111.0,4305.0,755.0,6134.0,3698.0,6647.0
2025-03-06 22:28:28,14.0,245.0,3.12,34.710826,-86.64083,100.0,0.645,-0.755,0.054,3395.0,7194.0,2901.0,5270.0,1288.0,2502.0
2025-03-06 22:28:34,19.0,69.0,3.45,34.710945,-86.640892,100.0,-0.08,0.718,-0.509,856.0,2749.0,6823.0,5107.0,7558.0,2560.0
2025-03-06 22:28:35,20.0,94.0,3.54,34.711452,-86.640762,100.0,-0.606,0.026,0.714,4569.0,3539.0,909.0,2113.0,9689.0,6891.0
2025-03-06 22:28:36,21.0,257.0,3.02,34.711536,-86.64138,100.0,-0.788,-0.592,0.756,1887.0,893.0,6883.0,7264.0,9805.0,9905.0
2025-03-06 22:28:38,22.0,123.0,3.47,34.711231,-86.641197,100.0,0.981,-0.755,0.29,7952.0,1694.0,3494.0,3358.0,7737.0,8162.0
2025-03-06 22:28:39,23.0,60.0,4.28,34.710887,-86.640777,100.0,0.313,0.024,-0.149,9778.0,6075.0,6758.0,4606.0,8396.0,8341.0
2025-03-06 22:28:40,24.0,219.0,3.15,34.711524,-86.640922,100.0,0.772,-0.539,-0.99,2915.0,8615.0,1478.0,5937.0,569.0,4018.0
2025-03-06 22:28:41,25.0,185.0,2.02,34.711109,-86.64109,100.0,-0.128,0.264,-0.239,1570.0,7349.0,4476.0,3761.0,9370.0,8422.0
2025-03-06 22:28:42,26.0,280.0,3.39,34.711521,-86.640815,100.0,0.147,-0.256,0.908,381.0,326.0,9772.0,4737.0,5623.0,9702.0
2025-03-06 22:28:43,27.0,160.0,2.34,34.711624,-86.640922,100.0,0.321,0.175,0.925,1715.0,4131.0,7772.0,4960.0,4912.0,4725.0
2025-03-06 22:28:44,28.0,122.0,2.98,34.711204,-86.64067,100.0,-0.715,0.421,0.561,6005.0,4886.0,5591.0,1317.0,1672.0,3598.0
2025-03-06 22:28:46,29.0,207.0,4.37,34.711025,-86.641632,100.0,0.628,-0.14,-0.529,175.0,2697.0,4616.0,5894.0,100.0,2212.0
2025-03-06 22:28:47,30.0,122.0,2.62,34.710792,-86.641464,100.0,0.596,0.765,0.373,6776.0,7101.0,150.0,3209.0,463.0,8800.0
2025-03-06 22:28:48,31.0,101.0,4.03,34.710842,-86.640899,100.0,-0.994,-0.814,-0.31,2927.0,9594.0,4957.0,4347.0,2240.0,753.0
2025-03-06 22:28:49,32.0,298.0,2.15,34.711063,-86.640724,100.0,-0.757,-0.551,-0.051,4087.0,2845.0,4069.0,5281.0,4168.0,1873.0
