timestamp,packet-counter,lidar-lite-v3,spectrometer-voltage,latitude,longitude,altitude,accelerometer,spectrometer_spectrometer1,spectrometer_spectrometer2,spectrometer_spectrometer3,spectrometer_spectrometer4,spectrometer_spectrometer5,spectrometer_spectrometer6
2025-03-08 17:20:01,1.0,205.0,2.97,34.711559,-86.641525,250.0,0.963,0.65,0.467,9763.0,9538.0,7346.0,9427.0
2025-03-08 17:20:03,4.0,199.0,4.42,34.710941,-86.640747,250.0,-0.19,0.302,0.2,9704.0,5957.0,9300.0,2589.0
2025-03-08 17:20:06,7.0,186.0,2.47,34.711257,-86.641639,250.0,-0.801,0.937,0.411,1237.0,2606.0,1004.0,3483.0
2025-03-08 17:20:07,8.0,286.0,4.97,34.711391,-86.64141,250.0,0.25,-0.681,0.931,6109.0,788.0,4216.0,6241.0
2025-03-08 17:20:08,9.0,57.0,2.06,34.711044,-86.641578,250.0,0.589,0.086,0.503,1822.0,3326.0,832.0,5528.0
2025-03-08 17:20:10,10.0,89.0,3.21,34.710811,-86.64154,250.0,0.641,-0.97,0.754,8152.0,2568.0,597.0,3147.0
2025-03-08 17:20:11,11.0,99.0,3.41,34.711456,-86.641647,250.0,-0.008,0.278,0.774,6826.0,4527.0,3420.0,4584.0
2025-03-08 17:20:12,12.0,103.0,4.31,34.711231,-86.640747,250.0,0.09,0.413,-0.809,3867.0,3766.0,9488.0,7389.0
2025-03-08 17:20:13,13.0,281.0,2.51,34.711612,-86.640853,250.0,0.162,0.823,0.727,5702.0,3657.0,9652.0,1600.0
2025-03-08 17:20:14,14.0,181.0,3.13,34.711013,-86.641197,250.0,-0.514,-0.866,-0.537,9668.0,327.0,2951.0,5500.0
2025-03-08 17:20:18,17.0,86.0,4.18,34.711685,-86.641517,250.0,0.372,-0.354,0.667,2851.0,2123.0,5697.0,3479.0
2025-03-08 17:20:19,18.0,151.0,4.93,34.7112,-86.641418,250.0,0.494,-0.927,0.891,9334.0,8106.0,2075.0,1793.0
2025-03-08 17:20:20,19.0,247.0,3.82,34.711688,-86.640991,250.0,-0.062,-0.827,-0.167,7442.0,694.0,5318.0,8418.0
2025-03-08 17:20:21,20.0,175.0,3.45,34.711429,-86.641326,250.0,-0.81,0.314,0.964,7294.0,9014.0,8402.0,8709.0
2025-03-08 17:20:22,21.0,188.0,4.81,34.711753,-86.641639,250.0,0.595,0.652,-0.448,7063.0,2043.0,2294.0,5478.0
2025-03-08 17:20:23,22.0,260.0,4.52,34.711601,-86.640739,250.0,0.016,-0.21,-0.381,6030.0,2704.0,3964.0,4581.0
2025-03-08 17:20:25,23.0,136.0,4.56,34.711055,-86.640769,250.0,0.3,0.604,0.486,6303.0,9658.0,8698.0,3665.0
2025-03-08 17:20:26,24.0,162.0,4.95,34.710956,-86.641471,250.0,-0.78,0.617,0.401,3283.0,9307.0,5748.0,4846.0
2025-03-08 17:20:27,25.0,286.0,2.63,34.711448,-86.641082,250.0,-0.9,0.554,0.594,4773.0,6803.0,7245.0,2164.0
2025-03-08 17:20:30,28.0,137.0,2.44,34.711711,-86.641227,250.0,0.668,0.185,0.494,7156.0,4219.0,3627.0,7369.0
