timestamp,packet-counter,lidar-lite-v3,spectrometer-voltage,latitude,longitude,altitude,accelerometer,spectrometer_spectrometer1,spectrometer_spectrometer2,spectrometer_spectrometer3,spectrometer_spectrometer4,spectrometer_spectrometer5,spectrometer_spectrometer6
2025-03-08 17:03:37,1.0,205.0,2.97,34.711559,-86.641525,250.0,0.963,0.65,0.467,9763.0,9538.0,7346.0,9427.0
2025-03-08 17:03:38,2.0,281.0,3.18,34.711246,-86.641426,250.0,-0.823,0.659,-0.904,2431.0,2276.0,119.0,7604.0
2025-03-08 17:03:39,3.0,83.0,2.57,34.711166,-86.641532,250.0,-0.049,0.818,-0.097,8613.0,3151.0,6271.0,8959.0
2025-03-08 17:03:41,4.0,199.0,4.42,34.710941,-86.640747,250.0,-0.19,0.302,0.2,9704.0,5957.0,9300.0,2589.0
2025-03-08 17:03:42,5.0,130.0,3.7,34.710784,-86.641624,250.0,-0.108,0.423,0.647,8980.0,1557.0,1966.0,7248.0
2025-03-08 17:03:43,6.0,282.0,3.69,34.711181,-86.641288,250.0,0.371,-0.569,-0.188,5932.0,7866.0,4903.0,1174.0
2025-03-08 17:03:44,7.0,186.0,2.47,34.711257,-86.641639,250.0,-0.801,0.937,0.411,1237.0,2606.0,1004.0,3483.0
2025-03-08 17:03:45,8.0,286.0,4.97,34.711391,-86.64141,250.0,0.25,-0.681,0.931,6109.0,788.0,4216.0,6241.0
2025-03-08 17:03:46,9.0,57.0,2.06,34.711044,-86.641578,250.0,0.589,0.086,0.503,1822.0,3326.0,832.0,5528.0
2025-03-08 17:03:49,11.0,99.0,3.41,34.711456,-86.641647,250.0,-0.008,0.278,0.774,6826.0,4527.0,3420.0,4584.0
2025-03-08 17:03:50,12.0,103.0,4.31,34.711231,-86.640747,250.0,0.09,0.413,-0.809,3867.0,3766.0,9488.0,7389.0
2025-03-08 17:03:51,13.0,281.0,2.51,34.711612,-86.640853,250.0,0.162,0.823,0.727,5702.0,3657.0,9652.0,1600.0
2025-03-08 17:03:52,14.0,181.0,3.13,34.711013,-86.641197,250.0,-0.514,-0.866,-0.537,9668.0,327.0,2951.0,5500.0
2025-03-08 17:03:53,15.0,174.0,2.57,34.711463,-86.64083,250.0,0.571,0.759,0.766,8760.0,930.0,2574.0,8957.0
2025-03-08 17:03:54,16.0,153.0,3.19,34.711494,-86.640708,250.0,0.145,-0.751,-0.012,354.0,3044.0,4657.0,1708.0
