timestamp,packet-counter,lidar-lite-v3,spectrometer-voltage,latitude,longitude,altitude,accelerometer-x,accelerometer-y,accelerometer-z,spectrometer_spectrometer1,spectrometer_spectrometer2,spectrometer_spectrometer3,spectrometer_spectrometer4,spectrometer_spectrometer5,spectrometer_spectrometer6
2025-03-06 22:28:56,,174.0,3.36,34.711391,-86.641517,500.0,-0.05,-0.314,-0.932,7925.0,6665.0,9147.0,2725.0,4052.0,8418.0
2025-03-06 22:28:57,3.0,7745.0,9787.0,7051.0,1056.0,9328.0,6733.0,8427.0,8097.0,1566.0,8074.0,7134.0,7212.0,3258.0,1466.0
2025-03-06 22:28:58,3.0,215.0,3.5,34.711093,-86.641288,500.0,-0.052,-0.976,0.209,9030.0,5622.0,3284.0,7011.0,9281.0,5974.0
2025-03-06 22:28:59,4.0,278.0,2.53,34.711517,-86.641235,500.0,-0.406,0.158,0.121,4668.0,9919.0,8212.0,8515.0,7670.0,3085.0
2025-03-06 22:29:03,7.0,81.0,3.84,34.711044,-86.641304,500.0,-0.701,-0.301,-0.556,6165.0,4506.0,9506.0,3294.0,667.0,8413.0
2025-03-06 22:29:03,6.0,178.0,3.67,34.711467,-86.641494,500.0,-0.785,0.806,0.713,1426.0,1084.0,4107.0,3986.0,7896.0,1154.0
2025-03-06 22:29:04,,2.23,34.711452,-86.640922,500.0,-0.943,0.517,-0.506,7516.0,3917.0,8327.0,4447.0,5272.0,245.0,2282.0
2025-03-06 22:29:06,9.0,236.0,3.11,34.711452,-86.640808,500.0,-0.983,-0.536,0.492,6982.0,9781.0,3315.0,917.0,5009.0,9609.0
2025-03-06 22:29:15,18.0,278.0,3.26,34.7108,-86.641418,500.0,-0.799,-0.522,0.749,1089.0,542.0,9046.0,404.0,2911.0,9051.0
2025-03-06 22:29:16,19.0,193.0,3.86,34.711727,-86.640861,500.0,0.182,-0.101,0.592,5322.0,9181.0,6581.0,3767.0,2795.0,4940.0
2025-03-06 22:29:18,20.0,149.0,4.19,34.711429,-86.640731,500.0,0.097,-0.6,0.827,2532.0,4511.0,6064.0,5329.0,9335.0,799.0
2025-03-06 22:29:19,21.0,259.0,3.97,34.711639,-86.640701,500.0,-0.5,-0.814,0.524,5026.0,7902.0,8682.0,9202.0,1164.0,6476.0
2025-03-06 22:29:20,22.0,204.0,2.67,34.711303,-86.640983,500.0,0.446,-0.549,-0.276,5228.0,2926.0,6628.0,7853.0,9331.0,2608.0
2025-03-06 22:29:21,23.0,85.0,4.04,34.711116,-86.641525,500.0,-0.58,-0.949,0.116,3076.0,7380.0,5243.0,5393.0,2523.0,2589.0
2025-03-06 22:29:27,28.0,81.0,2.18,34.711536,-86.641647,500.0,0.799,-0.093,0.653,3167.0,9391.0,6666.0,5685.0,804.0,998.0
2025-03-06 22:29:28,29.0,219.0,4.26,34.711257,-86.641349,500.0,0.119,0.267,-0.162,6248.0,3262.0,5552.0,6657.0,7107.0,3416.0
2025-03-06 22:29:38,38.0,270.0,4.62,34.711391,-86.640792,500.0,0.47,-0.716,0.459,8004.0,2970.0,6692.0,7039.0,2872.0,3528.0
2025-03-06 22:29:39,39.0,150.0,2.51,34.711242,-86.641151,500.0,0.529,-0.306,-0.803,8298.0,1347.0,3646.0,6552.0,3308.0,9886.0
2025-03-06 22:29:41,40.0,112.0,2.11,34.71138,-86.641311,500.0,0.367,-0.874,0.681,910.0,5239.0,9766.0,543.0,4514.0,162.0
2025-03-06 22:29:42,41.0,295.0,3.18,34.711299,-86.641387,500.0,-0.992,0.701,-0.626,5790.0,2899.0,5341.0,7087.0,6339.0,5737.0
2025-03-06 22:29:48,46.0,78.0,2.2,34.711292,-86.641288,500.0,0.322,-0.748,-0.519,6225.0,2668.0,7529.0,8266.0,2161.0,1400.0
2025-03-06 22:29:49,47.0,107.0,4.49,34.711769,-86.641288,500.0,-0.625,-0.186,0.605,7019.0,5717.0,7140.0,6352.0,3576.0,776.0
2025-03-06 22:29:50,48.0,228.0,3.45,34.711162,-86.64125,500.0,0.786,0.898,-0.933,4229.0,255.0,2980.0,5158.0,3399.0,4728.0
2025-03-06 22:29:51,49.0,212.0,4.88,34.711414,-86.641281,500.0,-0.838,-0.958,-0.187,5008.0,4917.0,5922.0,4333.0,9787.0,4692.0
2025-03-06 22:29:52,50.0,239.0,2.89,34.711578,-86.641593,500.0,0.509,0.176,-0.523,6021.0,833.0,1802.0,1270.0,5751.0,9895.0
2025-03-06 22:29:59,56.0,180.0,2.17,34.711521,-86.640739,500.0,0.847,0.203,0.777,8541.0,4343.0,8000.0,580.0,2806.0,6777.0
