timestamp,packet-counter,lidar-lite-v3,spectrometer-voltage,latitude,longitude,altitude,accelerometer,spectrometer_spectrometer1,spectrometer_spectrometer2,spectrometer_spectrometer3,spectrometer_spectrometer4,spectrometer_spectrometer5,spectrometer_spectrometer6
2025-03-08 19:40:22,4.0,134.0,4.43,34.710823,-86.641059,250.0,-0.059,-0.967,0.393,3049.0,1476.0,7683.0,7380.0
2025-03-08 19:40:23,5.0,51.0,3.97,34.711559,-86.640899,250.0,0.201,0.361,-0.551,5159.0,9412.0,5044.0,5401.0
2025-03-08 19:40:24,6.0,53.0,4.43,34.711688,-86.640769,250.0,0.566,-0.351,-0.217,6291.0,4906.0,9008.0,9837.0
2025-03-08 19:40:31,12.0,154.0,2.96,34.711055,-86.641601,250.0,0.468,0.144,0.939,6492.0,519.0,5602.0,1987.0
2025-03-08 19:40:32,13.0,84.0,3.49,34.71112,-86.641036,250.0,0.668,0.745,0.938,1962.0,4913.0,6522.0,4368.0
2025-03-08 19:40:35,15.0,198.0,2.19,34.710891,-86.641288,250.0,0.437,0.372,-0.572,7066.0,5310.0,6082.0,9737.0
2025-03-08 19:40:42,21.0,296.0,4.88,34.71175,-86.641387,250.0,-0.155,0.963,0.336,472.0,5447.0,9612.0,7369.0
2025-03-08 19:40:43,22.0,97.0,4.41,34.711372,-86.640876,250.0,-0.505,-0.564,-0.295,5259.0,3961.0,5162.0,9247.0
2025-03-08 19:40:44,23.0,218.0,2.85,34.711318,-86.641395,250.0,-0.278,0.633,0.365,1386.0,5486.0,3319.0,362.0
2025-03-08 19:40:45,24.0,299.0,2.89,34.711601,-86.640769,250.0,-0.219,-0.837,0.613,4111.0,2431.0,6763.0,1660.0
2025-03-08 19:40:46,25.0,232.0,2.24,34.710929,-86.640792,250.0,0.168,-0.803,0.873,4968.0,6066.0,256.0,2972.0
2025-03-08 19:40:47,26.0,130.0,4.41,34.711215,-86.640686,250.0,-0.135,0.144,-0.546,2597.0,1910.0,2519.0,7042.0
2025-03-08 19:40:48,27.0,85.0,2.02,34.711238,-86.640686,250.0,-0.725,-0.683,0.739,1241.0,5986.0,1215.0,8936.0
2025-03-08 19:40:50,28.0,276.0,4.45,34.711372,-86.641349,250.0,0.147,0.706,-0.022,3994.0,6594.0,5180.0,694.0
2025-03-08 19:40:51,29.0,199.0,3.94,34.710796,-86.64154,250.0,0.724,0.019,0.024,7466.0,3958.0,8020.0,2107.0
